Site,Date,Expected CPM,Actual CPM,Abnormality,Percentage Drop/Growth
angelswin,2017-05-10 00:00:00,1.5688183236394946,0.41209850761973876,low,73.7319164743236
angelswin,2017-05-11 00:00:00,1.6498798295225843,0.4397014306682117,low,73.34948747173632
angelswin,2017-05-12 00:00:00,1.7289356941238943,0.40620276244343895,low,76.50561765692075
angelswin,2017-05-13 00:00:00,1.8049432753313854,0.4590150620133482,low,74.56900345363631
angelswin,2017-05-14 00:00:00,1.876884122595621,0.4063583430991735,low,78.34931106257089
angelswin,2017-05-15 00:00:00,1.943781952568492,0.432278193537298,low,77.76097298536546
angelswin,2017-05-16 00:00:00,2.004719984203004,0.41714832357334924,low,79.19169126559136
angelswin,2017-05-17 00:00:00,2.0588573040282956,0.48964734658896125,low,76.21751902713547
angelswin,2017-05-18 00:00:00,2.105443950273106,0.8616314862353752,low,59.076018807168474
angelswin,2017-05-20 00:00:00,2.1734994009145936,0.9246104241885281,low,57.459826131101835
angelswin,2017-05-22 00:00:00,2.20517186532941,1.05358181257414,low,52.22223586564962
arseblog,2017-04-01 00:00:00,1.1939722103096075,0.12718784456381005,low,89.34750378060899
arseblog,2017-04-08 00:00:00,1.3513660212243004,0.12281223654907975,low,90.9119931520984
arseblog,2017-04-23 00:00:00,1.8655808598284334,0.8062326561430789,low,56.78382676925493
arseblog,2017-04-26 00:00:00,1.934091258737304,0.5804188250698533,low,69.99010142630048
arseblog,2017-05-28 00:00:00,1.4516912365084023,1.9157886869270473,high,31.969432531320436
cardinalconnect,2017-04-14 00:00:00,0.595426894385884,0.9198856517583737,high,54.491787393502335
cardinalconnect,2017-04-15 00:00:00,0.5823969952440505,1.1332729391575929,high,94.58770364752664
cardinalconnect,2017-04-16 00:00:00,0.5718180945577975,1.2011167962249256,high,110.05225396964428
cardinalconnect,2017-05-13 00:00:00,1.3132567729576874,0.4985106233471074,low,62.040125464240106
cardinalconnect,2017-05-17 00:00:00,1.380734585659414,0.605741898941799,low,56.12901239433301
catchronicles,2017-04-08 00:00:00,1.4296317015313549,0.1117766447368421,low,92.18143773552923
catchronicles,2017-05-06 00:00:00,1.7624477282894075,0.4149609863999999,low,76.4554159684071
catchronicles,2017-05-07 00:00:00,1.823569504104762,0.3406284534444445,low,81.32078581717302
catchronicles,2017-05-11 00:00:00,2.079651704246288,0.7434300575999999,low,64.2521843401929
catchronicles,2017-05-12 00:00:00,2.1428884289587744,0.7833237581818183,low,63.4454249882513
catchronicles,2017-05-13 00:00:00,2.2042940512779885,0.18559894100000002,low,91.58011877351868
catchronicles,2017-05-14 00:00:00,2.263123901189286,0.40188951571428577,low,82.24182443112858
catchronicles,2017-05-15 00:00:00,2.3186621588282312,0.7652405612000001,low,66.99646137379818
catchronicles,2017-05-16 00:00:00,2.3702343148052196,0.516531219047619,low,78.20758834596207
catchronicles,2017-05-20 00:00:00,2.5254493036140904,1.0712881861111112,low,57.580293353027336
catchronicles,2017-05-23 00:00:00,2.577154370832796,1.1475386310257338,low,55.47264672954334
catchronicles,2017-05-25 00:00:00,2.5783145747878997,1.2293616590740741,low,52.319175049646326
catchronicles,2017-05-26 00:00:00,2.5691397038246606,1.1743363011627908,low,54.290679505884235
catchronicles,2017-05-27 00:00:00,2.5537941792371024,0.957595181111111,low,62.50304002974999
catchronicles,2017-05-28 00:00:00,2.532641016364051,0.8263902030434783,low,67.37041697958941
catchronicles,2017-05-31 00:00:00,2.4391605050824032,0.8547526646879756,low,64.95709639005084
chicagoreader,2017-04-06 00:00:00,1.0634526955692443,2.068097947470631,high,94.47014014700682
chicagoreader,2017-04-15 00:00:00,1.1603165478895938,2.0865772185778546,high,79.82827379071354
chicagoreader,2017-04-16 00:00:00,1.1801527070628108,1.877182621767445,high,59.062688288824674
chicagoreader,2017-04-23 00:00:00,1.3779108662487196,0.00011672149709097615,low,99.99152909669631
chicitysports,2017-04-15 00:00:00,0.7477325442859692,1.3476966507323143,high,80.23779505535198
chicitysports,2017-04-16 00:00:00,0.7390781842013485,1.5034411793304383,high,103.42112803059722
chicitysports,2017-05-20 00:00:00,1.4165553034861107,2.048863969588551,high,44.63706178970514
cityweekly,2017-05-11 00:00:00,2.820594086266133,0.30537194379796984,low,89.17348847588993
cityweekly,2017-05-12 00:00:00,2.9560904754393964,0.4455914889380531,low,84.92632439229317
cityweekly,2017-05-13 00:00:00,3.086826290018906,0.2564815803246753,low,91.69109123004442
cityweekly,2017-05-14 00:00:00,3.2109037738690693,0.2891946661899898,low,90.99335618390344
cityweekly,2017-05-15 00:00:00,3.326513029527688,0.30657652652950734,low,90.78384711533698
cityweekly,2017-05-16 00:00:00,3.4319650672359616,0.27732448124156545,low,91.91936759819886
cityweekly,2017-05-17 00:00:00,3.525722714595463,0.3206506072945291,low,90.9053934965694
cityweekly,2017-05-18 00:00:00,3.606428794802122,0.3410984349657714,low,90.54193346455668
cityweekly,2017-05-19 00:00:00,3.6729310334823064,0.33101863889567557,low,90.9876162694556
cityweekly,2017-05-20 00:00:00,3.724303216699785,0.2306189433666667,low,93.80772912547584
cityweekly,2017-05-21 00:00:00,3.759862194502926,0.18509721299115045,low,95.07702135302272
cityweekly,2017-05-22 00:00:00,3.779180404046956,0.3508457478699905,low,90.71635353807706
cityweekly,2017-05-23 00:00:00,3.782093672311956,0.3048163516711032,low,91.94053933929214
cityweekly,2017-05-24 00:00:00,3.7687041490755595,0.3759552804342207,low,90.02428247050275
cityweekly,2017-05-25 00:00:00,3.739378314332092,0.4087864373587748,low,89.06806418082923
